area,ne
2.363681412648602e-05,124
-1.0807897497565084e-05,95
6.479709273180266e-05,96
-0.0002942731904301006,107
0.0003637269595736824,51
0.00015060162401991098,33
0.00027811559920729376,105
-7.206318529185179e-05,47
0.00022592752211979679,104
-5.2869417339994856e-05,158
-0.0002762331428335627,241
0.00021869858768218677,59
-4.833094837805359e-07,53
4.480692124672187e-05,27
0.00013848714232310907,85
-0.00028472200502529594,150
0.0003414658894569359,89
0.00020770479958457524,118
7.966735195164503e-05,41
0.0,0
1.0890723956773617e-06,3
-0.00017549125711874953,42
0.00019198118436808753,31
0.0003179298625200819,60
-2.929966746565757e-05,108
0.00014995981700356158,28
1.8712382204661247e-05,86
0.00020359818365246965,302
-1.098910850336593e-05,105
-3.4641603424701546e-05,82
0.0001802117827888361,99
-0.00015420878340422034,198
0.0,0
0.00014431516557946553,83
-8.213790491785947e-08,3
0.00012369233886371398,55
-0.0002279985074306265,107
-0.00011233269992713556,23
area,ne
-4.323812868056989e-05,26
9.251528183760109e-05,43
8.193682383161363e-05,6
4.903410800718001e-05,76
0.00017996019880227258,22
0.00018134654774480232,62
6.938062645766697e-05,17
-0.00010837931513703116,29
6.852995397811908e-05,68
0.0006885413930957151,239
2.828322513633095e-10,2
-6.756468875545658e-05,37
-8.804400611585318e-05,43
5.8328904392578765e-05,63
-7.062672199334264e-07,108
-0.0001561611355187682,151
-0.0001787303741440597,36
0.0,1
-1.0653848033946082e-07,3
7.618863680526683e-07,17
0.0,0
-0.00015427291762148008,75
-0.00013266811250558266,109
0.00015255086205758254,62
-0.00021576261857262125,36
0.00017219885373377829,170
-6.125261682413063e-05,156
0.00010943289550052915,203
-0.0003260441681281477,53
0.0,1
-1.7134954262063562e-06,119
0.00019868676194553466,140
0.00029960852094502045,54
-0.00012300163434219826,38
0.0,0
0.0004126979701706462,77
0.0004237620680500419,101
4.4514323753510996e-07,4
-0.00018949029982316651,137
0.0004979543531100883,107
-1.087570162479083e-10,2
-9.730401434349331e-05,80
-0.0001926349686950844,60
0.0004369718205250577,144
0.00023206965516053797,96
-0.00010385416836086754,292
-9.430625349458325e-05,42
-6.277601118179365e-05,133
-0.00011703637035836505,22
-0.00010969907766625062,114
-3.6898556053208467e-07,24
0.00017418937249566243,71
0.00011115917209149048,322
0.0,1
0.00010366582935672809,17
0.0,0
6.608201895827894e-05,63
2.586307209304991e-05,160
0.00018829101141126293,82
3.070505905997726e-05,122
0.0,0
-0.0002637480868218883,93
8.198102054757846e-05,54
-1.2598949418363806e-05,54
0.00032539328616999844,150
-0.00011160884605496824,58
-0.0004017576572705152,48
0.00033959569818969637,40
-2.3039809891672218e-05,71
0.000337227927007546,70
0.0002095387707610296,96
1.667650136341846e-05,72
-2.7507994688043286e-05,89
-0.00017700798067274082,42
3.0787549088705244e-05,98
-1.925618965059529e-05,56
0.00015533778729213347,67
7.655182501061722e-06,27
-0.00011502443527326745,170
0.0005539184704076324,108
6.873579808029747e-06,132
-1.3530799860544446e-08,2
0.0002910096176165916,165
-7.588565356805442e-05,32
0.0002829260087175943,27
-0.0001863422142229646,134
7.512385244760345e-05,63
-0.00010934337530714197,48
-7.44321918582412e-05,37
0.00014010344182838967,48
-4.355517826036887e-07,4
-0.00013025658184964126,43
0.00013633290455963967,62
-5.046246117657362e-06,60
0.0003030393692374407,29
0.00047712927137143137,312
-9.548367152122545e-05,108
0.00016545090081832,66
9.18214802845528e-05,132
0.0002489581766946417,54
area,ne
-0.00011727610277837468,355
1.7838546467132583e-05,17
-0.0002430962201976966,92
0.0002605709752705983,122
0.0005477753356649809,152
7.464107554662169e-07,6
4.352387010837629e-05,13
0.00024681364721266033,88
-0.00010777283903420145,24
1.5933016632538963e-06,66
-0.00010266179713068107,50
5.059480838720685e-06,65
-0.0001777172842488468,40
0.00040433347642924143,225
-9.303226589801995e-05,31
2.4666873660424926e-07,218
-0.0001705301395346659,98
0.00045647634736742,477
0.0,0
0.0,0
0.0002307614292982594,45
0.00022295312661764537,44
-1.136842214712932e-06,7
0.00025947703191291674,87
0.0,1
-1.0908547033314967e-05,108
-0.00020011328054174386,42
-0.00020216889472937104,114
-0.0001349109303602102,89
-0.00021762374332010906,23
0.0002408326554861435,138
0.0,1
-2.214177349353569e-05,105
9.522385866434863e-05,71
6.774578946463113e-05,66
-5.389543724732232e-05,156
0.00012871808873116038,25
-0.0001624287115546841,40
2.9424557215671627e-06,56
-2.8380422534437767e-06,46
7.774627930942554e-06,110
0.0003265448448395197,131
0.0,1
0.00014364928368911694,89
-0.00013400913900011042,46
0.00013796524066051865,15
5.096616436369728e-05,122
-0.00039528225278168274,55
-0.0003828291658410565,208
-0.00013182460887828338,74
-0.00015765297933594861,137
0.0002809954568762824,40
-4.039936117557721e-05,12
-0.00029948348098654244,49
-4.032899835203686e-08,2
-0.00022339967767897678,83
2.172870459900775e-07,3
7.346697218746901e-05,17
-0.0002049048897176387,140
8.012525765225714e-09,131
-1.2930392243625113e-05,55
-4.369295882789854e-07,6
1.056317792268719e-07,6
0.00019890937292119958,80
2.0294728455358168e-09,2
-1.524540444469561e-05,191
0.0001935929812091311,13
-6.557573988074662e-05,295
0.00019566059064401022,165
-0.0001870426139234512,34
-0.0002550196216380677,130
0.00016679578254353645,71
1.4071802038200002e-05,57
-7.120855647366375e-05,79
2.7171171166175196e-07,34
-3.544724163470697e-05,175
2.9036005360106366e-05,152
-0.00013871111448482946,97
0.00023154920240839544,66
-5.4044974642709245e-05,54
-5.327711117239737e-05,42
-0.0003231490622607131,92
5.962221043297097e-05,7
0.00023233737816065296,87
0.0003039607729033221,42
0.00024737744144652957,24
-0.0001292545617782027,38
0.00013666728725092933,70
5.357493533761171e-08,4
-0.00012978700761595853,125
-0.0003640666338063361,125
0.0,1
-0.0002975254185074259,127
0.0004417302849087819,220
3.895061642767702e-05,108
0.00013427098755531883,43
9.253084352661013e-05,148
-0.0002401619819086302,48
1.1711712220753956e-06,124
0.00025466705129673854,111
area,ne
7.910996315817128e-07,70
-0.00018421343195215018,140
0.00039626926214090033,164
-8.31251670899197e-05,314
0.00015690799768140274,215
0.00013222378268606177,16
-6.8168508951214605e-06,29
7.795251528725591e-05,109
4.787706114578666e-05,27
0.00027865141923923153,116
0.00010649680634545123,69
0.0,0
0.00033789038288979217,125
-0.0003042359422480697,311
0.0003825684395341774,103
-0.00029806737163849396,33
0.0002163909531227334,181
0.00011937340418672731,65
5.9734675810676044e-05,28
5.887958821467799e-06,43
-2.0682958641554775e-05,127
-2.3927590468674535e-05,7
-7.14508573816281e-11,2
-0.00018570511705032295,116
-0.0004172621216745884,209
4.925699900504126e-05,123
-1.8044983113244654e-05,90
0.00011423002328263608,46
0.0001713112568150179,97
-7.725979343186528e-07,3
0.000129932301071393,232
0.00021631529325228567,180
0.0001577088488592008,82
