Ratio Hole A,Ratio Neighbors,Ratio Outer Holes,Total
0.17365269461077845,0.3712574850299401,0.4550898203592814,167
0.08139534883720931,0.4069767441860465,0.5116279069767442,86
0.05357142857142857,0.5238095238095238,0.4226190476190476,168
0.3898305084745763,0.5084745762711864,0.1016949152542373,59
0.24,0.24,0.52,100
0.09523809523809523,0.8571428571428571,0.047619047619047616,42
0.1902439024390244,0.44390243902439025,0.36585365853658536,205
0.18181818181818182,0.4484848484848485,0.3696969696969697,165
0.11618257261410789,0.5892116182572614,0.2946058091286307,482
0.25925925925925924,0.6111111111111112,0.12962962962962962,108
0.0,0.65,0.35,20
0.09785202863961814,0.6539379474940334,0.24821002386634844,419
0.46153846153846156,0.5384615384615384,0.0,26
0.20535714285714285,0.49107142857142855,0.30357142857142855,224
0.11140583554376658,0.5251989389920424,0.363395225464191,377
0.0,0.8157894736842105,0.18421052631578946,38
0.07981220657276995,0.5633802816901409,0.3568075117370892,426
0.03361344537815126,0.5210084033613446,0.44537815126050423,119
0.09803921568627451,0.5359477124183006,0.3660130718954248,153
0.0,0.6666666666666666,0.3333333333333333,30
0.1871508379888268,0.38268156424581007,0.4301675977653631,358
0.1388888888888889,0.6111111111111112,0.25,252
0.122568093385214,0.5778210116731517,0.29961089494163423,514
0.5333333333333333,0.0,0.4666666666666667,15
0.27419354838709675,0.5080645161290323,0.21774193548387097,124
0.0,0.7741935483870968,0.22580645161290322,31
0.12037037037037036,0.6388888888888888,0.24074074074074073,108
0.09375,0.8125,0.09375,32
0.3068181818181818,0.38636363636363635,0.3068181818181818,176
0.2222222222222222,0.2222222222222222,0.5555555555555556,18
0.1732283464566929,0.5433070866141733,0.28346456692913385,127
0.09326424870466321,0.48186528497409326,0.42487046632124353,193
0.06222222222222222,0.4711111111111111,0.4666666666666667,225
0.0,0.6,0.4,55
0.20833333333333334,0.2916666666666667,0.5,24
0.5238095238095238,0.2857142857142857,0.19047619047619047,21
0.07766990291262135,0.4401294498381877,0.48220064724919093,309
0.0,0.2857142857142857,0.7142857142857143,14
0.03571428571428571,0.5535714285714286,0.4107142857142857,112
0.15702479338842976,0.47107438016528924,0.371900826446281,363
0.28,0.48,0.24,25
0.0,1.0,0.0,20
1.0,0.0,0.0,24
0.16226415094339622,0.6452830188679245,0.19245283018867926,265
0.8,0.1,0.1,10
0.43529411764705883,0.25882352941176473,0.3058823529411765,85
nan,nan,nan,nan
0.11699779249448124,0.5938189845474614,0.2891832229580574,453
0.17902813299232737,0.6035805626598465,0.21739130434782608,391
0.0,0.5,0.5,52
0.048507462686567165,0.6567164179104478,0.2947761194029851,268
0.1751412429378531,0.5706214689265536,0.2542372881355932,177
0.036585365853658534,0.8536585365853658,0.10975609756097561,82
0.15196078431372548,0.5833333333333334,0.2647058823529412,204
0.05154639175257732,0.6701030927835051,0.27835051546391754,97
0.018691588785046728,0.6355140186915887,0.34579439252336447,107
0.1958041958041958,0.5874125874125874,0.21678321678321677,143
0.0,0.35714285714285715,0.6428571428571429,42
0.19444444444444445,0.6666666666666666,0.1388888888888889,144
